block_number,block_timestamp,block_hash,parent_hash,miner,difficulty,total_difficulty,size,gas_used,gas_limit,base_fee_per_gas,transaction_count,nonce,state_root,receipts_root,transactions_root,is_anomaly,anomaly_confidence,predicted_attack_type,actual_attack_type,correct_prediction,model_version
SIMULATION,2025-12-19T14:44:32.836643,simulation_summary,N/A,Status: running,18516000000000,296256000000000,16,111,17200,12500.0,87,0x0,N/A,N/A,N/A,False,0,none,simulation,True,v1
ATTACKS,2025-12-19T14:44:32.836671,attack_summary,N/A,Successful: 10,2,0,0,0,0,83.33333333333334,12,0x0,N/A,N/A,N/A,False,0,none,attacks,True,v1
ML,2025-12-19T14:44:32.837313,ml_summary,N/A,Accuracy: 100.00%,8,0,0,0,0,0.0,16,0x0,N/A,N/A,N/A,False,0,none,machine_learning,True,v1
OVERVIEW,2025-12-19T14:44:32.837327,final_summary,N/A,Blockchain Anomaly Detection System v2.0,0,0,0,0,0,0.0,3,0x0,N/A,N/A,N/A,False,0,none,overview,True,v1
